mode	db_path	table	row_count	columns
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/ge_info.db	TaskInfo	129990	model_id,op_name,stream_id,task_id,block_num,mix_block_num,op_state,task_type,op_type,index_id,thread_id,timestamp,batch_id,tensor_num,input_formats,input_data_types,input_shapes,output_formats,output_data_types,output_shapes,device_id,context_id,op_flag,hashid
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/rts_track.db	HostTaskFlip	3	stream_id,timestamp,task_id,flip_num
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/runtime.db	HostTask	146935	model_id,request_id,stream_id,task_id,context_ids,batch_id,task_type,kernel_name,device_id,timestamp,connection_id,thread_id
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/stream_expand_spec.db	StreamExpandSpec	1	expand_status
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/time.db	Time	0	device_id,dev_mon,dev_wall,dev_cntvct,host_mon,host_wall
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	AICORE_FREQ	33	deviceId,timestampNs,freq
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	CANN_API	707529	startNs,endNs,type,globalTid,connectionId,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	COMPUTE_TASK_INFO	129990	name,globalTaskId,blockNum,mixBlockNum,taskType,opType,inputFormats,inputDataTypes,inputShapes,outputFormats,outputDataTypes,outputShapes,attrInfo,opState,hf32Eligible
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_API_TYPE	5	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_HCCL_DATA_TYPE	20	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_HCCL_LINK_TYPE	10	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_HCCL_RDMA_TYPE	5	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_HCCL_TRANSPORT_TYPE	7	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_MEMCPY_OPERATION	9	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_MODULE	65	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	ENUM_MSTX_EVENT_TYPE	4	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	HOST_INFO	1	hostUid,hostName
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	META_DATA	4	name,value
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	NPU_INFO	1	id,name
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	RANK_DEVICE_MAP	1	rankId,deviceId
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	SESSION_TIME_INFO	1	startTimeNs,endTimeNs
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	STRING_IDS	1371	id,value
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	TASK	146937	startNs,endNs,deviceId,connectionId,globalTaskId,globalPid,taskType,contextId,streamId,taskId,modelId
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	TASK_PMU_INFO	3600716	globalTaskId,name,value
