mode	input_cap_tokens	target_prefix_ratio_pct	common_metric	stage	value	unit	policy
prefix_cache_off	8192	30	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Concurrency	total	2.986649	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Request Throughput	total	0.032424	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Total Input Tokens	total	24576.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Prefill Token Throughput	total	265.62013	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Input Token Throughput	total	265.62013	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Output Token Throughput	total	33.202516	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Total Token Throughput	total	298.822647	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Benchmark Duration	total	93791.74	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Concurrency	total	2.986642	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Request Throughput	total	0.031986	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Total Input Tokens	total	24576.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Prefill Token Throughput	total	262.027338	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Input Token Throughput	total	262.027338	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Output Token Throughput	total	32.753417	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	60	Total Token Throughput	total	294.780756	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Benchmark Duration	total	97271.087	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Concurrency	total	2.986854	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Request Throughput	total	0.030842	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Total Input Tokens	total	24576.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Prefill Token Throughput	total	252.654728	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Input Token Throughput	total	252.654728	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Output Token Throughput	total	31.581841	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	90	Total Token Throughput	total	284.236569	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	16384	30	Benchmark Duration	total	98064.226	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	16384	30	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	16384	30	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	16384	30	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	16384	30	Concurrency	total	2.97572	request	benchmark_duration_based_vllm_openai_streaming_client_metric
